"country" "year" "pop" "continent" "lifeExp" "gdpPercap"
"1" "Brazil" 1952 56602560 "Americas" 50.917 2108.944355
"2" "Brazil" 1957 65551171 "Americas" 53.285 2487.365989
"3" "Brazil" 1962 76039390 "Americas" 55.665 3336.585802
"4" "Brazil" 1967 88049823 "Americas" 57.632 3429.864357
"5" "Brazil" 1972 100840058 "Americas" 59.504 4985.711467
"6" "Brazil" 1977 114313951 "Americas" 61.489 6660.118654
"7" "Brazil" 1982 128962939 "Americas" 63.336 7030.835878
"8" "Brazil" 1987 142938076 "Americas" 65.205 7807.095818
"9" "Brazil" 1992 155975974 "Americas" 67.057 6950.283021
"10" "Brazil" 1997 168546719 "Americas" 69.388 7957.980824
"11" "Brazil" 2002 179914212 "Americas" 71.006 8131.212843
"12" "Brazil" 2007 190010647 "Americas" 72.39 9065.800825
"13" "Canada" 1952 14785584 "Americas" 68.75 11367.16112
"14" "Canada" 1957 17010154 "Americas" 69.96 12489.95006
"15" "Canada" 1962 18985849 "Americas" 71.3 13462.48555
"16" "Canada" 1967 20819767 "Americas" 72.13 16076.58803
"17" "Canada" 1972 22284500 "Americas" 72.88 18970.57086
"18" "Canada" 1977 23796400 "Americas" 74.21 22090.88306
"19" "Canada" 1982 25201900 "Americas" 75.76 22898.79214
"20" "Canada" 1987 26549700 "Americas" 76.86 26626.51503
"21" "Canada" 1992 28523502 "Americas" 77.95 26342.88426
"22" "Canada" 1997 30305843 "Americas" 78.61 28954.92589
"23" "Canada" 2002 31902268 "Americas" 79.77 33328.96507
"24" "Canada" 2007 33390141 "Americas" 80.653 36319.23501
"25" "Croatia" 1952 3882229 "Europe" 61.21 3119.23652
"26" "Croatia" 1957 3991242 "Europe" 64.77 4338.231617
"27" "Croatia" 1962 4076557 "Europe" 67.13 5477.890018
"28" "Croatia" 1967 4174366 "Europe" 68.5 6960.297861
"29" "Croatia" 1972 4225310 "Europe" 69.61 9164.090127
"30" "Croatia" 1977 4318673 "Europe" 70.64 11305.38517
"31" "Croatia" 1982 4413368 "Europe" 70.46 13221.82184
"32" "Croatia" 1987 4484310 "Europe" 71.52 13822.58394
"33" "Croatia" 1992 4494013 "Europe" 72.527 8447.794873
"34" "Croatia" 1997 4444595 "Europe" 73.68 9875.604515
"35" "Croatia" 2002 4481020 "Europe" 74.876 11628.38895
"36" "Croatia" 2007 4493312 "Europe" 75.748 14619.22272
"37" "Haiti" 1952 3201488 "Americas" 37.579 1840.366939
"38" "Haiti" 1957 3507701 "Americas" 40.696 1726.887882
"39" "Haiti" 1962 3880130 "Americas" 43.59 1796.589032
"40" "Haiti" 1967 4318137 "Americas" 46.243 1452.057666
"41" "Haiti" 1972 4698301 "Americas" 48.042 1654.456946
"42" "Haiti" 1977 4908554 "Americas" 49.923 1874.298931
"43" "Haiti" 1982 5198399 "Americas" 51.461 2011.159549
"44" "Haiti" 1987 5756203 "Americas" 53.636 1823.015995
"45" "Haiti" 1992 6326682 "Americas" 55.089 1456.309517
"46" "Haiti" 1997 6913545 "Americas" 56.671 1341.726931
"47" "Haiti" 2002 7607651 "Americas" 58.137 1270.364932
"48" "Haiti" 2007 8502814 "Americas" 60.916 1201.637154
"49" "Iran" 1952 17272000 "Asia" 44.869 3035.326002
"50" "Iran" 1957 19792000 "Asia" 47.181 3290.257643
"51" "Iran" 1962 22874000 "Asia" 49.325 4187.329802
"52" "Iran" 1967 26538000 "Asia" 52.469 5906.731805
"53" "Iran" 1972 30614000 "Asia" 55.234 9613.818607
"54" "Iran" 1977 35480679 "Asia" 57.702 11888.59508
"55" "Iran" 1982 43072751 "Asia" 59.62 7608.334602
"56" "Iran" 1987 51889696 "Asia" 63.04 6642.881371
"57" "Iran" 1992 60397973 "Asia" 65.742 7235.653188
"58" "Iran" 1997 63327987 "Asia" 68.042 8263.590301
"59" "Iran" 2002 66907826 "Asia" 69.451 9240.761975
"60" "Iran" 2007 69453570 "Asia" 70.964 11605.71449
