Film	Chapter	TotalWords	cumulatedTotalWords
The Fellowship Of The Ring	01: Prologue	109	109
The Fellowship Of The Ring	02: Concerning Hobbits	54	163
The Fellowship Of The Ring	03: The Shire	98	261
The Fellowship Of The Ring	04: Very Old Friends	97	358
The Fellowship Of The Ring	05: A Long Expected Party	101	459
The Fellowship Of The Ring	06: Farewell Dear Bilbo	80	539
The Fellowship Of The Ring	07: Keep It Secret, Keep It Safe	140	679
The Fellowship Of The Ring	08: The Account of Isildur	11	690
The Fellowship Of The Ring	09: At The Green Dragon	72	762
The Fellowship Of The Ring	10: The Shadow Of The Past	132	894
The Fellowship Of The Ring	11: The Passing Of The Elves	135	1029
The Fellowship Of The Ring	12: Saruman The White	88	1117
The Fellowship Of The Ring	13: A Shortcut To Mushrooms	44	1161
The Fellowship Of The Ring	14: Buckleberry Ferry	137	1298
The Fellowship Of The Ring	15: At The Sign of the Prancing Pony	91	1389
The Fellowship Of The Ring	16: The Nazgul	43	1432
The Fellowship Of The Ring	17: The Midgewater Marshes	116	1548
The Fellowship Of The Ring	18: The Spoiling Of Isengard	110	1658
The Fellowship Of The Ring	19: A Knife In The Dark	9	1667
The Fellowship Of The Ring	20: The Caverns Of Isengard	111	1778
The Fellowship Of The Ring	21: Flight To The Ford	59	1837
The Fellowship Of The Ring	22: Rivendell	127	1964
The Fellowship Of The Ring	23: Many Meetings	84	2048
The Fellowship Of The Ring	24: The Fate Of The Ring	90	2138
The Fellowship Of The Ring	25: The Sword That Was Broken	6	2144
The Fellowship Of The Ring	26: The Evenstar	134	2278
The Fellowship Of The Ring	27: The Council Of Elrond	125	2403
The Fellowship Of The Ring	28: Gilraen's Memorial	130	2533
The Fellowship Of The Ring	29: Bilbo's Gifts	4	2537
The Fellowship Of The Ring	30: The Departure Of The Fellowship	123	2660
The Fellowship Of The Ring	31: The Ring Goes South	37	2697
The Fellowship Of The Ring	32: The Pass Of Caradhras	53	2750
The Fellowship Of The Ring	33: Moria	93	2843
The Fellowship Of The Ring	34: A Journey In The Dark	99	2942
The Fellowship Of The Ring	35: Balin's Tomb	39	2981
The Fellowship Of The Ring	36: The Bridge Of Khazad-dûm	30	3011
The Fellowship Of The Ring	37: Lothlorien	55	3066
The Fellowship Of The Ring	38: Caras Galadhon	106	3172
The Fellowship Of The Ring	39: The Mirror Of Galadriel	63	3235
The Fellowship Of The Ring	40: The Fighting Uruk-hai	136	3371
The Fellowship Of The Ring	41: Farewell To Lorien	95	3466
The Fellowship Of The Ring	42: The Great River	57	3523
The Fellowship Of The Ring	43: Parth Galen	99	3622
The Fellowship Of The Ring	44: The Breaking Of The Fellowship	115	3737
The Fellowship Of The Ring	45: The Departure Of Boromir	22	3759
The Fellowship Of The Ring	46: The Road Goes Ever On…	68	3827
The Two Towers	01: The Foundations Of Stone	117	7
The Two Towers	02: Elven Rope	21	25
The Two Towers	03: The Taming of Sméagol	107	30
The Two Towers	04: The Uruk-Hai	4	150
The Two Towers	05: The Three Hunters	10	229
The Two Towers	06: The Burning of the Westfold	72	312
The Two Towers	07: Massacre at the Fords of Isen	58	436
The Two Towers	08: The Banishment of Éomer	38	554
The Two Towers	09: On The Trail Of The Uruk-Hai	41	657
The Two Towers	10: Night Camp At Fangorn	47	672
The Two Towers	11: The Riders Of Rohan	64	766
The Two Towers	12: The Fate Of Merry And Pippin	114	838
The Two Towers	13: Treebeard	29	978
The Two Towers	14: The Passage Of The Marshes	102	1039
The Two Towers	15: The White Rider	113	1174
The Two Towers	16: The Song Of The Entwives	51	1305
The Two Towers	17: The Heir Of Númenor	59	1380
The Two Towers	18: The Black Gate Is Closed	46	1503
The Two Towers	19: Ent Draft	73	1527
The Two Towers	20: The King Of The Golden Hall	104	1577
The Two Towers	21: The Funeral Of Théodred	60	1609
The Two Towers	22: Simbelmynë on the Burial Mounds	135	1649
The Two Towers	23: The King's Decision	86	1785
The Two Towers	24: Brego	129	1888
The Two Towers	25: The Ring Of Barahir	19	1911
The Two Towers	26: A Daughter Of Kings	130	1947
The Two Towers	27: Exodus From Edoras	119	2024
The Two Towers	28: The Forests Of Ithilien	33	2046
The Two Towers	29: Gollum and Sméagol 	20	2115
The Two Towers	30: Of Herbs And Stewed Rabbit	76	2177
The Two Towers	31: Dwarf Women	129	2205
The Two Towers	32: One of the Dúnedain	36	2333
The Two Towers	33: The Evenstar	70	2369
The Two Towers	34: The Wolves Of Isengard	19	2508
The Two Towers	35: Helm's Deep	13	2556
The Two Towers	36: Isengard Unleashed	35	2615
The Two Towers	37: The Grace Of The Valar	133	2723
The Two Towers	38: Arwen's Fate	47	2770
The Two Towers	39: The Story Foreseen From Lórien	42	2782
The Two Towers	40: The Windows On The West	71	2893
The Two Towers	41: Sons Of The Steward	101	3019
The Two Towers	42: The Forbidden Pool	87	3071
The Two Towers	43: Aragorn's Return	82	3080
The Two Towers	44: Entmoot	122	3204
The Two Towers	45: The Glittering Caves	49	3206
The Two Towers	46: Where Is The Horse And The Rider	138	3209
The Two Towers	47: Don't Be Hasty, Master Meriadoc!	92	3324
The Two Towers	48: The Host Of The Eldar	27	3429
The Two Towers	49: The Battle Of The Hornburg	7	3558
The Two Towers	50: Old Entish	140	3623
The Two Towers	51: The Breach Of The Deeping Wall	85	3701
The Two Towers	52: The Entmoot Decides	13	3715
The Two Towers	53: The Retreat To The Hornburg	26	3756
The Two Towers	54: Master Peregrin's Plan	8	3861
The Two Towers	55: Osgiliath	75	3939
The Two Towers	56: The Last March Of The Ents	9	4035
The Two Towers	57: The Nazgûl Attack	10	4102
The Two Towers	58: Forth Eorlingas	43	4158
The Two Towers	59: The Flooding Of Isengard	41	4195
The Two Towers	60: The Tales That Really Mattered…	61	4229
The Two Towers	61: Fangorn Comes To Helm's Deep	1	4310
The Two Towers	62: The Final Tally	100	4341
The Two Towers	63: Flotsam And Jetsam	16	4478
The Two Towers	64: Farewell To Faramir	45	4505
The Two Towers	65: The Battle For Middle Earth Is About To Begin	17	4526
The Two Towers	66: Gollum's Plan	25	4539
The Return Of The King	01: The Finding Of The Ring	7	4635
The Return Of The King	02: Journey To The Cross-roads	18	4724
The Return Of The King	03: The Road To Isengard	5	4845
The Return Of The King	04: The Voice Of Saruman	120	4957
The Return Of The King	05: Return To Edoras	79	5031
